,url,header,text
26,https://leader-id.ru/specials/skrobotics2016/,IV международная конференция Skolkovo Robotics 2016,"





20 мая 2016 года в Инновационном центре «Сколково» состоится Четвертая международная конференция Skolkovo Robotics 2016. Организаторы  конференции – Робототехнический центр «Сколково» и Сколковский институт науки и технологий (Сколтех). Генеральный партнер мероприятия – Московский технологический институт. Впервые за историю конференция пройдет в формате open air.
Темы программы мероприятия:





Deep learning
Медицинская робототехника
Промышленная робототехника
Сельскохозяйственная робототехника




Образовательная робототехника
Беспилотная робототехника
Robotics Design & Marketing
Мастер-классы





 
Регистрация на конференцию по ссылке:  http://sk.ru/foundation/events/may2016/skrobotics2016/
 
 




"
27,https://leader-id.ru/specials/trainee_agency/,Агентство стратегических инициатив объявляет новый отбор стажеров под задачи Национальной технологической инициативы и направления «Молодые профессионалы»,"





До конца года Агентство предоставляет возможность принять участие в стажировке по одному из выбранных треков. Каждый трек включает в себя как выполнение рабочих задач, так и обучение (доступ к обучающим материалам, посещение тематических мероприятий, тренинги). Сквозная компетенция, которая будет получена на стажировке, - организация мероприятий. Длительность стажировки и график обсуждается персонально с каждым кандидатом. Участие в стажировке осуществляется на бесплатной и безвозмездной основе, есть возможность дистанционных задач.       
Общие требования к кандидатам: 

Готовность работать в условиях неопределенности и ограниченности ресурсов (в том числе временных)
Системное мышление
Умение быстро усваивать информацию
Ответственность

Кандидатам предлагается выбрать один из следующих треков: 
1. «Сопровождение образовательных проектов». Задачи: 

Анализ рынка и поиск потенциальных партнеров для проекта
Подготовка документации по проекту для подачи на грантовые программы, программы институтов развития
Организация образовательных программ для проектных команд
Подготовка методических материалов для лидеров проектов и др.

В процессе данного трека будет предложено выбрать не менее одного сквозного проекта для сопровождения в течение стажировки. Задачи по остальным проектам будут предложены в потоковом режиме. Ознакомиться со списком проектов направления можно по ссылке
Дополнительной возможностью в рамках трека станет заявка на конкретный проект, которому кандидат готов уделять большую часть времени. Список и описание проектов, на которые можно подать заявку, представлен ниже:

Кодабра – обучение школьников программированию и цифровому творчеству в интересной для них форме через создание игр, анимации, сайтов, роботов. С помощью сети волонтеров проекта проводятся бесплатные вводные курсы в школах России, формируется интерес к дальнейшему изучению программирования на углубленных курсах.
Школа игропрактиков и модераторов - подготовка специалистов, владеющих различными инструментами управления групповой коммуникацией, обладающих навыками переработки и упаковки результатов групповой работы, способных подготовить сценарий мероприятия под задачу.
Метод ассоциативного мышления– тренинги Павла Суркова.
Сетевая аспирантура – организационное сопровождение проектов Тимура Щукина.
 Ассоциация техноброкеров - программа Дебатов в Точке кипения в октябре-декабре 2016 г. 
3D технологии в образовании - внедрение изучения 3D технологий в основной процесс образовательных организаций с целью воспитания талантливого молодого поколения российских инженеров.
Школа IT-решений – программа для школьников 8-11 классов по реализации IT-проектов. 
Олимпиада НТИ - перспективная система командных инженерных состязаний школьников, дающих привилегии при поступлении в университеты России.
Платформа Глобаллаб – проект представляет собой образовательную онлайн-платформу, обеспечивающую в полном объеме функциональность необходимую для реализации совместных школьных исследовательских проектов.
inLearno – проект, направленный на создание индивидуальных образовательных траекторий для вовлечения школьников в Национальную технологическую инициативу (НТИ).

2.       «Национальная технологическая инициатива» (НТИ). Задачи:

Помощь в организации и проведении заседаний рабочих групп, в т.ч. оформление протоколов заседаний рабочей группы, помощь в подготовке докладов и презентаций.
Изучение рыночных, социальных и технологических трендов для уточнения образа будущего 2035 года.
Оформление дорожных карт с соблюдением методологии их разработки.
Подготовка аналитических обзоров по развитию отраслевых технологий в различных странах мира, ведение реестров и карт развития перспективных технологий.
Подготовка обзорных материалов по реализации отдельных инициатив, состоянию рынка, ключевым технологиям и др.

Дополнительное требование на данный трек – техническое образование (обучение по техническим специальностям), наличие не менее 15 свободных часов в неделю для выполнения задач, а также возможность очного присутствия в Точке кипения. Дополнительной возможностью в рамках трека станет заявка на сопровождение конкретных рынков, в том числе: 

FASHIONNET - перспективный, глобальный сетевой рынок основанный на передовых разработках в технологиях производства и сбыта продуктов модной индустрии. 
Медианет – рынок персонализированных коммуникативных услуг и сервисов, основанных на интеллектуальных платформах и нейротехнологиях, технологиях дополненной и виртуальной реальностей.

3. Международный трек – работа по международным инициативам Агентства (GEF, БРИКС). Возможность поработать с Павлом Лукшей. Дополнительное требование на данный трек – хорошее знание английского языка. 
4. Журналистский трек – работа в социальных сетях: подготовка публикаций о проектах, продвижение мероприятий, подготовка публичных материалов, пригодных для использования в пространстве Точки кипения.
5. IT-трек – работа с системой Leader-ID, создание базы знаний направления, онлайн-библиотеки Точки кипения и др.
Стажировка в Агентстве стратегических инициатив - это возможность участвовать в работе проектных, творческих команд, включающих в себя экспертов из профессиональных сообществ, исследовательских центров и профильных министерств. Мы гарантируем интересные задачи, внимание и поддержку, комфортную атмосферу, интересные встречи и массу возможностей для профессионального и личностного роста.
Статистика по предыдущим стажировкам доступна по ссылке .
Чтобы присоединиться к программе стажировок, необходимо создать и заполнить профиль на leader-id.ru, а также подать заявку, выбрав соответствующий трек. После этого мы с вами свяжемся и пригласим пообщаться.
По итогам успешного завершения стажировки участники программы получат благодарственное письмо от направления «Молодые профессионалы» АСИ, подтверждающее успешное участие в стажировке, а также рекомендации по трудоустройству в партнерские организации Агентства. 
 


 




"
28,https://leader-id.ru/specials/openselection_directors_ws/,Открытый отбор на позицию директоров направлений Союз «Ворлдскиллс Россия»,"







Описание вакансий





 Директор направления по организации чемпионатов по стандартам WS Федерального и Международного уровня.rtf








 Директор направления по продвижению чемпионатов WS Hi-Tech в международном пространстве.rtf








 Директор направления по работе с участниками прошедших чемпионатов по стандартам WS.rtf





Кейсы к вакансиям





 Кейсы к вакансиям (1).rtf







Союз «Ворлдскиллс Россия» совместно с Агентством стратегических инициатив  объявляет открытый отбор на позицию директоров направлений!
WorldSkills Russia –  это приоритетный национальный проект в рамках международного некоммерческого движения WorldSkills International, целью которого является повышение престижа рабочих профессий и развитие профессионального образования путем гармонизации лучших практик и профессиональных стандартов посредством организации и проведения чемпионатов профессионального мастерства. Россия в 2019 году примет международный чемпионат WorldSkills Competition 2019, в котором примут участие конкурсанты 76 стран мира.
WorldSkills Russia сегодня:

78 регионов РФ, присоединившихся к движению WorldSkills Russia,
152 региональных чемпионата,
более 20 000 конкурсантов, 25 000 экспертов, 1 000 000 зрителей,
4 Национальных чемпионата,
2 чемпионата Hi-Tech по сквозным профессиям среди концернов и холдингов, предприятий РФ.

Союз «Ворлдскиллс Россия» стремительно развивается, и для решения амбициозных задач мы ищем людей, способных проектировать уникальные решения и выполнять креативные задачи. Нам нужны профессионалы, которые мыслят системно, свободны от стереотипов, ориентируются в последних мировых трендах и умеют быстро усваивать большое количество новой информации.
Открытый отбор проводится на следующие позиции:

Директор направления по работе с участниками прошедших чемпионатов по стандартам WS,
Директор направления по продвижению чемпионатов WorldSkils Hi-Tech в международном пространстве,
Директор направления по организации чемпионатов по стандартам WS Федерального и Международного уровня.

Чемпионаты профессионального мастерства по стандартам WorldSkills – это ключевые события в сфере оценки и подготовки кадров по самым перспективным профессиям. Ежегодно региональные и национальные чемпионаты посещают более 500 000 человек. Это уникальная площадка для коммуникации лидеров российской промышленности, бизнесменов, HR-директоров крупнейших промышленных холдингов, представителей государственных институтов развития, федеральных и региональных органов власти, а также международных экспертов, спикеров, которая позволяет обмениваться лучшими мировыми практиками подготовки чемпионов и рабочих кадров для экономики.
Отбор проводится в 2 этапа:
Первый заочный этап. Для участия в нем необходимо решить размещенные на сайте кейсы (формат представления - презентация не более 3 слайдов PowerPoint), загрузить подробное резюме и представить команду с которой Вы готовы присоединится к WorldSkills Russia . Заявки и решенные кейсы от кандидатов принимаются включительно до 11 ноября 2016 года.
Второй очный этап. Авторы лучших решений попадут на деловую игру, где наглядно продемонстрируют свои профессиональные навыки и личные качества. 18 ноября 2016 года экспертная комиссия отберет заявки для участия в очном этапе, который состоится 24 ноября 2016 года в коворкинг-центре Агентства стратегических инициатив «Точка кипения» по адресу: Москва, Малый Конюшковский переулок, д.2, 3 этаж
Присоединяйтесь к команде молодых профессионалов!




"
29,https://leader-id.ru/specials/competition_regional_teams/,Конкурс региональных команд на право участия в «Форсайт-навигации 2017»,"





Агентство стратегических инициатив проводит конкурс среди региональных команд на право проведения Форсайт-флота 2017 года.
Цель конкурса - поиск и поддержка команд, деятельность которых направлена на решение социально-экономического задач своего региона. Агентство ведет работу по тиражированию лучших практик, форматов (Форсайт-флот) и методик  (Rapid Foresight, Открытый отбор) доказавших свою эффективность.
Конкурс пройдет в 2 этапа:

с 10 октября по 10 ноября - прием и отбор заявок на сайте leader-id.ru
с 21 по 27 ноября (дата уточняется)  - проектная сессия для региональных команд на площадке Точка кипения, г. Москва. 1 декабря - объявление победителей конкурса на сайте asi.ru (до 5 проектных команд)

В заявке команды должны представить проект подготовки и проведения «Форсай-флота» в своем регионе, включая:

цели и задачи мероприятия в контексте социально-экономического развития региона;
стейкхолдеры проекта, партнеры, подрядчики;
повестка: содержательные направления мероприятия;
место и сроки проведения, программа мероприятия;
организационная модель мероприятия (позиции в команде, распределение обязанностей: организация, содержание, методика);
механизм отбора участников, экспертов, ведущих;
условия участия,
подготовка/отбор модераторов тематических групп (если требуются);
медиаплан, программа освещения мероприятия и его результатов;
разработка и производство раздаточных материалов, элементов оформления мероприятия с использованием фирменного стиля «Форсайт-флот»;
финансовый план проекта с указанием согласованных источников;
план использования/внедрения результатов мероприятия в регионе;
состав команды со ссылками на профили в системе leаder-id.ru

Требование к заявке: презентация проекта подготовки и проведения «Форсай-флота», объемом не более 20 слайдов
Победители конкурса получают право на проведение «Форсайт-флота» в 2017 году, использование фирменного стиля, информационную, методическую и организационную поддержку мероприятия со стороны Агентства, в том числе привлечение тематических экспертов и модераторов.
*О формате «Форсайт-флот»
 «Форсайт-флот» - уникальный, не имеющий аналогов в России и мире, формат групповой коммуникации, в ходе которой участники совместно разрабатывают дорожные карты отраслевого и территориального развития и проекты  по  наиболее значимым и перспективным направлениям в экономике, социальной сфере, государственном управлении. Характерной особенностью «Форсайт-флота» является формирование устойчивых социальных и деловых связей между участниками, создание проектных команд, объединенных совместными целями и  общим видением способов их достижения. «Форсайт-флот» является площадкой для реализации лучших практик организации совместной проектной работы – от мастер-классов и лекций авторитетных экспертов в области экономики, культуры, инновационного развития до коучинг-сессий и деловых игр. http://foresighttrip.asi.ru/
Контактное лицо Ксения Андреева ka.andreeva@asi.ru, +7(925) 090-65-24




"
30,https://leader-id.ru/specials/asi-projects/,Проекты АСИ,"





                    Предложите свой проект Агентству стратегических инициатив. Мы поможем снять административные и иные барьеры, препятствующие реализации проекта; обеспечить доступ к коммуникациям в регионах, в том числе - для тиражирования идеи, распространения лучших практик. Мы имеем возможность привлечь стратегических партнеров, обеспечить комплексную экспертизу в крупнейших научно-исследовательских центрах, всестороннее освещение в СМИ, региональную и федеральную поддержку.                



"
36,https://leader-id.ru/specials/Technology2035/,Конкурс проектных идей «Школьный урок технологии – 2035»,"





В рамках работы по выполнению поручения Президента Российской Федерации о представлении предложений по совершенствованию преподавания в общеобразовательных организациях учебного предмета «Технология» Агентство стратегических инициатив с 20 июня по 10 июля 2016 года проводит конкурс проектных идей «Школьный урок технологии – 2035».
Участникам конкурса предлагается представить свои идеи о том, как должен выглядеть школьный курс «Технология» в будущем на горизонте 10 – 20 лет.
При разработке решений предлагаем исходить из следующего целеполагания для учебного курса «Технология»:

развитие навыков проектно-исследовательской деятельности, в том числе работа над реализацией реальных проектов/продуктов,
развитие знаний и компетенций в перспективных технологических направлениях (работа с данными, работа с искусственным интеллектом и др.),
формирование запроса на изучение других школьных предметов (математики, физики, химии, биологии и др.), междисциплинарный характер предмета,
обеспечение «сквозного» характера обучения по предмету в течение всего курса,
развитие навыков межличностной и межкультурной коммуникаций
и другие.

Конкурс проводится в следующих номинациях

Курс «Технология» глазами преподавателя. Необходимо схематически описать сквозную учебную программу с указанием

	
основных этапов (цели, задачи, перечень ключевых технологий, оценка эффективности каждого из этапов),
возможных форматов программы,
процессной схемы программы,
материально-технического оснащения,
необходимых площадок в школе и за ее пределами,
ожидаемого результата по итогам программы,



а также включить перечень и описание проектов, которые должны быть выполнены учащимися. 
Решение по номинации должно быть представлено в формате презентации, содержащей не более 5 слайдов.

Курс «Технология» глазами ученика.
	Необходимо подготовить программу предмета «Технология», описав технологии, которые хотел бы освоить учащийся школы. Данная номинация рассчитана на использование таких визуальных форм, как рисунки, граффити, мультфильм, видеоролик, фотография и др. Участники - дети от 10 до 17 лет. 

Решение по номинации может быть представлено в виде не более 3-х минутного видеоролика или с использованием других визуальных форматов в объеме не более 5 страниц.
Исходные материалы для работы:

Атлас новых профессий – http://atlas100.ru/
Описания приоритетных технологических направлений и рынков Национальной технологической инициативы – http://nti.one/

Авторы лучших решений будут приглашены на обсуждение концепции учебного предмета «Технология», проведение которого запланировано на 21-22 июля на Форуме стратегических инициатив, а также вовлечены в дальнейшую работу Агентства стратегических инициатив по данному проекту и другим перспективным образовательным проектам.
К участию в конкурсе приглашаются учителя, методисты, преподаватели, студенты педагогических вузов, эксперты Junior Skills, Worldskills, лидеры технологических компаний, молодые исследователи, а также школьники.
Вопросы по конкурсу вы можете задать Юлии Гудач (yu.gudach@asi.ru) и Ксении Андреевой (ka.andreeva@asi.ru). 




"
38,https://leader-id.ru/specials/openselection_national_business_network/,Открытый отбор на позицию директора по продукту Национальной предпринимательской сети,"







Описание вакансий





 Директор по продукту.docx







Национальная предпринимательская сеть и Агентство стратегических инициатив приглашает принять участие в открытом отборе на позицию Директора по продукту.
Национальная предпринимательская сеть (НПС) – флагманская инициатива «РЫБАКОВ ФОНД».
Миссия НПС – раскрыть предпринимательский потенциал каждого. Программа направлена на развитие инновационно-предпринимательской деятельности в школах и университетах, а также в среде молодых предпринимателей России. НПС создает систему вовлечения в предпринимательство, помогает сделать первый шаг и ускоряет развитие бизнеса. Сейчас Национальная предпринимательская сеть объединяет: 20 000+ человек из 150+ вузов и школ в 70+ городах России. В будущем планируется международная экспансия и тиражирование модели.
Директор по продукту НПС должен иметь опыт управления проектной командой и обладать стратегическим мышлением, понимать современные особенности развития образовательных проектов и предпринимательства, а также «быть внутри продукта»: от идеи до вывода ее на рынок. Кроме этого необходимо понимание особенностей развития предпринимательства и специфики российского бизнеса, а также наличие опыта взаимодействия с учебными и государственными организациями.
Продукт – программа развития предпринимательства, которая включает в себя пул форматов и методик. Например, один из форматов по вовлечению в предпринимательство – «Время действовать».
Вопросы, на которые предстоит ответить директору по продукту:

Как выбрать устойчивую продуктовую модель развития для быстрого масштабирования?
Какие форматы НПС должна создавать самостоятельно?
Какую роль сообщество играет в создании продукта?

 
Отбор проводится в 2 этапа:
Первый заочный этап.
Для участия необходимо написать эссе на тему «Как создать эффективную программу по развитию предпринимательства: 3 быстрые победы» (не более 1 страницы), загрузить резюме с описанием результатов на каждом месте работы и прикрепить короткое сопроводительное письмо. Заявки от кандидатов принимаются включительно до 19 декабря 2016 года.
Второй очный этап.
Финалисты первого этапа попадут на деловую игру, где наглядно продемонстрируют свои профессиональные навыки и личные качества. Экспертная комиссия отберет заявки для участия в очном этапе. 
Информация о дате и месте проведения деловой игры будет уточнена отдельно. 
 
 




"
39,https://leader-id.ru/specials/dvo-call/,Дальневосточный вызов,"





Развитие Сибири и Дальнего Востока – национальный приоритет России на весь предстоящий XXI век. Перед регионом и страной в целом поставлены беспрецедентные по своей амбициозности цели.
Фундаментальной основой достижения этих целей является высокопрофессиональная, сплоченная команда, объединенных общими ценностями людей, которые хотят реализовать самих себя в своей собственной стране.
Для формирования такой команды Министерство по развитию Дальнего Востока реализует проект «Дальневосточный вызов», целью которого является подбор, оценка и создание резерва управленческих кадров на территории Дальнего Востока.
Мы предлагаем вам попробовать свои силы (принять участие в конкурсе на должности) по следующим направлениям:


Министерство по развитию Дальнего Востока;


Региональные управленческие команды;


Институты развития Дальнего Востока;


Консультативные и совещательные органы;


Образовательные институты.


При проведении конкурса будут использованы лучшие мировые и отечественные технологии: открытый конкурсный отбор и ассессмент-центр (оценка управленческих компетенций).
Дальний Восток – территория возможностей и Ваш личный трамплин в будущее!




"
40,https://leader-id.ru/specials/openselection_monogorod_manager2/,Открытый отбор линейных менеджеров (консультантов),"







Описание вакансий





 Профиль должности Консультант (Линейный менеджер).docx





Кейсы к вакансиям





 Кейс и эссе.docx





Анкеты





 Анкета кандидата.docx







Фонд развития моногородов объявляет о начале открытого отбора кадрового резерва на замещение 16 вакансий линейных менеджеров проектного офиса Фонда развития моногородов, курирующих развитие моногородов Российской Федерации.
Деятельность линейных менеджеров осуществляется в рамках реализации приоритетного направления стратегического развития Российской Федерации до 2018 года и на период до 2025 года «Моногорода».
Основная задача линейного менеджера – сопровождение разработки и реализации программ развития моногородов, направленных на:

привлечение инвестиций и создание новых рабочих мест;
повышение удовлетворенности населения жизнью в моногородах;
развитие малого и среднего предпринимательства;
диверсификацию экономики моногородов.

Его деятельность осуществляется в следующих направлениях:

повышение инвестиционной привлекательности моногорода и создание условий для развития МСП;
привлечение и содействие реализации инвестиционных проектов. Формирование базы типовых проектов;
содействие получению мер финансовой и нефинансовой поддержки;
развитие объектов социальной инфраструктуры и городской среды;
развитие объектов транспортной и коммунальной инфраструктуры.

Отбор будет происходить в несколько этапов на основании соответствия кандидатов профилю должности, качества выполнения заданий и личного собеседования.
На первом этапе кандидатам необходимо выполнить базовое задание по одной из представленных тем в требуемом формате. Заявки от кандидатов принимаются до 23 января (включительно) 2017 года.
До 25 января 2017 года эксперты отберут заявки для тестирования (второй этап) и финального этапа собеседований (3 этап), о которых финалисты будут уведомлены.
Прошедшие отбор кандидаты будут зачисляться в штат Фонда развития моногородов в соответствии с волновым графиком расширения деятельности проектного офиса Фонда с февраля 2017 года на основании персональных приглашений.
Вас ждет интересная, многогранная и сложная работа в коллективе единомышленников на самом острие проблем реализации проектов развития моногородов.




"
41,https://leader-id.ru/specials/promo_planeta/,Технологическое реалити-шоу для hardware-стартапов,"





В Рунете стартует технологическое реалити-шоу для hardware-стартапов
В Рунете стартует реалити-шоу, в котором будут участвовать создатели hardware-стартапов. В рамках проекта «Битва технологий», организованного Planeta.ru и инвестиционной площадкой «EVA Invest» в партнерстве с РВК, основатели молодых технобизнесов научатся находить финансирование для своих разработок и представлять их публике, создадут свои краудфандинговые кампании и пообщаются с инвесторами.
#TechBattle #БитваТехнологий https://promo.planeta.ru/techbattle
Первое технологическое реалити-шоу в Рунете для hardware-стартапов «Битва технологий» достигло экватора! Голосуй за самый полезный гаджет и получи подарки!
Совместный проект краудфандинговой платформы Planeta.ru, EVA Invest в партнёрстве с Российской венчурной компанией (РВК)  привлёк к участию в шоу 10 команд разработчиков, а также более полутора десятков экспертов в области инвестиций, технологий, дизайна и маркетинга. Один проект уже сошел с дистанции. Кто будет победителем шоу и получит денежный взнос от РВК, решать только тебе!
Участники реалити-шоу: модуль управления замками LOCK4GATE, умная кормушка для аквариума FISHBALL.IO, электрическая приставка для инвалидного кресла UNA, бионический протез руки MEHAND от MAXBIONIC, тайм-трекер TIMEFLIP, зарядное устройство + flash-накопитель POWERDRIVE, автоматическая кормушка для животных ANIMO, комплект для создания робототехники LIVETRONIC и интерактивная игрушка MISHKA.
Познакомиться с проектами и экспертами, а также проголосовать за самые интересные гаджеты можно на сайте реалити-шоу: https://l.planeta.ru/techbattleshow
#TechBattleNews #Planetaru #Краудфандинг #TechnologyPlanetaru #EVAInvest #РВК




"
42,https://leader-id.ru/specials/openselection_tekhnopark/,Открытый отбор преподавателей-методистов,"







Описание вакансий





 Cписок входных компетенций.docx





Анкеты





 Шаблон анкеты.docx







ФГБНУ «Республиканский мультимедиа центр» – федеральный оператор сети детских технопарков «Кванториум» приглашает в команду преподавателей-методистов по следующим направлениям:
Космические технологии;
Геотехнологии;
IT (программирование, большие данные, Интернет вещей);
Аэротехнологии;
Энергетика;
Нейротехнологии;
Робототехника;
Нанотехнологии;
Оптические технологии;
Промдизайн.
А также:
Организаторов детского технического творчества/руководителей детских проектов (инженерия, изобретательство, мэйкерство, электроника, ТРИЗ, DIY)
Кураторов STEAM-проектов (естественные науки, искусство и инженерия)
Специалистов Fablab (3D-моделирование, ЧПУ, лазерная резка и др.)
Инженеров-программистов/Веб-разработчик cms-платформ
Список входных компетенций по направлениям прилагается.
Мы ищем ярких людей – профессионалов в своих направлениях, имеющих опыт работы с детьми или студентами, которые готовы поддерживать и внедрять идеологию дополнительного образования детей, вместе с командой разрабатывать новые модели дополнительного образования детей в детских технопарках «Кванториум», новые методики, оказывать поддержку преподавателям региональных детских технопарков “Кванториумов”.
Какими мы видим соискателей?
Яркие, творческие, харизматичные люди;
Профессионалы в своем направлении, имеют опыт и достижения;
Умеют работать в команде и нести ответственность за командный результат;
Хорошо разбираются в новых технологиях, педагогике, управлении проектами, в равной степени обладают как системностью, так и духом творчества, мобильны;
Умеют анализировать, обобщать опыт и создавать методические материалы;
Стрессоустойчивы, гибки и дружелюбны;
Умеют ставить задачи и решать их, а также работать в условиях неопределенности;
Умеют работать с детьми, организовывать учебную и внеурочную деятельность.
Если такой человек – это Вы, а может быть, Вы узнаете в портрете своего коллегу или товарища, мы открыты для предложений и обсуждений кандидатур.
Любой желающий (вне зависимости от места проживания),  может подать заявку на предлагаемые позиции.
Отбор проводится в 2 этапа:
Первый заочный этап
Для участия в конкурсе по отбору необходимо:
Заполнить анкету-резюме с учетом требований к входным компетенциям;
Предоставить кейс по своему направлению на тему
«Проект (инженерный/исследовательский), который я готов организовать
и провести с детьми» (документ формата PowerPoint (в электронном виде) объемом не более 3 слайдов);
Снять и разместить в публичном доступе ролик (до двух минут) со своим выступлением на тему «Я готов включиться в строительство новой системы дополнительного образования детей вместе с детскими технопарками «Кванториум», где отразить свое направление и личную позицию;
Загрузить заполненную анкету, кейс и ссылку на видео в срок до 12 апреля 2017 года.
Второй очный этап
Авторы лучших решений будут приглашены на очное мероприятие,
где наглядно продемонстрируют свои профессиональные навыки и личные качества. Экспертная комиссия отберет заявки для участия в очном этапе, о проведении которого будет указано дополнительно.
Условия работы:
Работа в Москве;
Полная занятость;
Оформление по ТК РФ;
Командировки по стране;
Достойная заработная плата.
 
Присоединяйтесь к команде кванторианцев!




"
43,https://leader-id.ru/specials/asi/,АСИ,"





                    Агентство стратегических инициатив                



"
47,https://leader-id.ru/specials/investstandart/,Региональный инвестиционный стандарт,"







Документы





 Анкета кандидата в Экспертную группу по мониторингу внедрения Стандарта








Стандарт деятельности органов исполнительной власти субъекта Российской Федерации по обеспечению благоприятного инвестиционного климата в регионе был разработан Агентством стратегических инициатив совместно с Общероссийской общественной организацией «Деловая Россия» и утвержден наблюдательным советом Агентства 3 мая 2012 года.
Цель внедрения Стандарта - создание необходимых условий для увеличения притока инвестиций в регионы, а также ведения бизнеса путем внедрения лучших российских и международных практик взаимодействия региональных органов власти с предпринимателями.
Основными положениями Стандарта являются требования по осуществлению региональными органами власти комплекса мер, направленных на повышение инвестиционной привлекательности региона, защиты прав инвесторов, повышение прозрачности системы поддержки предпринимателей.
Экспертная группа – это общественный совещательный орган, созданный Агентством в каждом субъекте Российской Федерации из представителей объединений предпринимателей, лиц, осуществляющих инвестиционную и предпринимательскую деятельность, специалистов и экспертов.
Основной задачей Экспертных групп является оценка эффективности функционирования созданных в регионе институтов и инструментов в соответствии с основными требованиями Стандарта.
Членство в Экспертной группе предоставляет возможность представителям бизнес-сообщества в ходе партнерского диалога с органами исполнительной власти оказывать влияние на формирование инвестиционной политики субъекта Российской Федерации.
Подать заявку для рассмотрения Вашей кандидатуры для включения в состав Экспертной группы по мониторингу внедрения Стандарта для оценки результативности деятельности исполнительной власти Вашего региона над обеспечением благоприятного инвестиционного климата можно здесь:кнопка регистрации
Заявки принимаются до 30 июня 2014 года.
 
Общие требованияк кандидатам в члены Экспертной группы:
Готовность принимать участие в заседаниях Экспертной группы в соответствии с поставленными задачами на безвозмездной основе;Независимость при принятии решения (отсутствие каких-либо ограничений для принятия решений, руководствуясь исключительно собственными убеждениями и компетенциями);Компетентность (наличие представлений о текущей ситуации в регионе и уровне развития отдельных отраслей; Cпособность определения проблемных вопросов, возникающих у потенциальных инвесторов, и выработки их решения; Возможность получения обратной связи от представителей бизнес-сообщества относительно качества внедрения Стандарта).
 
В Экспертную группу не могут быть включены:

Лица, состоящие в родственных или иных близких связях с сотрудниками исполнительных органов государственной власти субъектов Российской Федерации;
Сотрудники предприятий и организаций, находящихся под прямым или косвенным контролем органов исполнительных власти субъектов Российской Федерации;
Лица, имеющие (по данным бизнес-ассоциаций, независимых экспертов или прочих независимых источников информации) негативную репутацию в деловой среде региона, в связи с которой участие данных лиц может поставить под сомнение объективность решений всей Экспертной группы.

 
Ознакомиться с Регламентом деятельности Экспертной группы по мониторингу внедрения Стандарта деятельности органов исполнительной власти субъекта Российской Федерации по обеспечению благоприятного инвестиционного климата в регионе, утвержденным Решением Дирекции Автономной некоммерческой организации «Агентство стратегических инициатив по продвижению новых проектов» (Протокол №46 от 21 января 2014 года) Вы можете здесь -http://investstandart.ru/resources/uploads/reglament-deyatelnosti-EG.pdf

Региональный инвестиционный стандарт – ключевой проект АСИ по созданию благоприятных условий для ведения бизнеса в регионах. Стандарт включает 15 лучших инвестиционных практик, используемых экономически наиболее успешными регионами. 



"
